('baseline_no_udp', '20', Decimal('6.390986'), '600Kbps')
('baseline_udp', '60', Decimal('8.900453'), '800Kbps')
('frr_no_udp', '60', Decimal('3.233893'), '800Kbps')
('frr', '60', Decimal('3.636093'), '800Kbps')
('baseline_no_udp', '99', Decimal('6.390986'), '800Kbps')
('baseline_udp', '99', Decimal('8.900453'), '800Kbps')
('frr_no_udp', '99', Decimal('6.390986'), '800Kbps')
('frr', '99', Decimal('8.900453'), '800Kbps')
('baseline_no_udp', '40', Decimal('6.390986'), '800Kbps')
('baseline_udp', '40', Decimal('8.900453'), '800Kbps')
('frr_no_udp', '40', Decimal('3.018293'), '800Kbps')
('frr', '40', Decimal('3.306693'), '800Kbps')
